source_id,source_name,author,title,description,url,urlToImage,publishedAt,content
the-new-york-times,The New York Times,ALAN YUHAS and LANCE BOOTH,"California, Facebook, Thanksgiving: Your Weekend Briefing",Here’s what you need to know about the week’s top stories.,https://www.nytimes.com/2018/11/18/briefing/california-facebook-thanksgiving-your-weekend-briefing.html,https://static01.nyt.com/images/2018/11/17/briefing/18weekend-briefing-promo/18weekend-briefing-slide-8YQX-facebookJumbo.jpg,2018-11-18T10:55:27Z,"5. Democrats make up most of the new class at the Capitol, one of the most diverse in U.S. history. They include a democratic socialist, two former C.I.A. officials, a climate scientist and immigrants from Ecuador and Somalia. Though she already faced a prote… [+760 chars]"
the-new-york-times,The New York Times,MIKE HALE,"Review: In ‘The Little Drummer Girl,’ Spycraft Is Seduction","A new, six-hour adaptation of a John le Carré novel is filtered through the melodramatic sensibility of the Korean director Park Chan-wook.",https://www.nytimes.com/2018/11/18/arts/little-drummer-girl-review-le-carre.html,https://static01.nyt.com/images/2018/11/19/arts/19drummergirl/19drummergirl-facebookJumbo.jpg,2018-11-18T21:46:10Z,"It wont please every Le Carré fan, and it doesnt do justice doesnt try to do justice, really to one important aspect of his story, regarding the emotional fallout for the civilian once shes gone all the way into the spies world. Somewhat perversely, given its… [+1985 chars]"
the-new-york-times,The New York Times,PATRICIA MAZZEI and FRANCES ROBLES,Florida Recount Nears an End as Counties Finish Manual Tally,"Florida’s manual recount ended at noon on Sunday. Bill Nelson, a Democrat, faces pressure to concede the Senate race to Rick Scott, a Republican.",https://www.nytimes.com/2018/11/18/us/florida-recount-senate-rick-scott-bill-nelson.html,https://static01.nyt.com/images/2018/11/19/us/19florida-recount/merlin_147023769_032ba9d8-0e1e-457e-9de3-3b151ed30d7a-facebookJumbo.jpg,2018-11-18T18:37:09Z,"The Florida secretary of states office, which supervises elections statewide, initially said the machine recount results would be accepted, regardless of the shortfall. But on Sunday, a spokeswoman for Secretary of State Ken Detzner suggested that it would be… [+1651 chars]"
the-new-york-times,The New York Times,MAGGIE HABERMAN,Trump Says He’s Unlikely to Sit for Interview in Russia Investigation,"President Trump had maintained over the past year that he was willing to be interviewed by the special counsel, though his lawyers steadily narrowed the path to such an encounter.",https://www.nytimes.com/2018/11/18/us/politics/trump-mueller-chris-wallace-interview.html,https://static01.nyt.com/images/2018/11/18/us/19DC-trump/19DC-trump-facebookJumbo.jpg,2018-11-18T20:47:22Z,"Several news outlets have reported that Mr. Trump and Mr. Whitaker discussed the inquiry in the Oval Office while Mr. Whitaker served as the chief of staff to the attorney general, Jeff Sessions. The day after the midterm elections, Mr. Trump forced out Mr. S… [+1504 chars]"
the-new-york-times,The New York Times,ADAM NAGOURNEY,A Democratic Rout in Orange County: Cisneros’s Win Makes It Four,"Gil Cisneros, a Democratic candidate for the House, speaking at an election night party in Fullerton, Calif. Days later, he was declared the winner in his race against Young Kim.",https://www.nytimes.com/2018/11/17/us/politics/cisneros-orange-county-democrats.html,https://static01.nyt.com/images/2018/11/16/us/OCDEMSHFO/OCDEMSHFO-facebookJumbo.jpg,2018-11-18T02:34:02Z,"The changing political tides in Orange County were captured in the ethnic dynamics of the race to succeed Mr. Royce. Ms. Kim was seeking to become the first Korean-American member of Congress, but faced a challenge from Mr. Cisneros, a Latino in a state where… [+2350 chars]"
the-new-york-times,The New York Times,ANEMONA HARTOCOLLIS,Bloomberg Gives $1.8 Billion to Johns Hopkins for Student Aid,The donation would underwrite “need-blind” admissions and eliminate the need for low- and moderate-income students at the university to take out loans.,https://www.nytimes.com/2018/11/18/us/michael-bloomberg-johns-hopkins-donation.html,https://static01.nyt.com/images/2018/11/19/us/19hopkins1/19hopkins1-facebookJumbo.jpg,2018-11-18T23:39:41Z,"Mr. Bloomberg is not asking that his name be attached to scholarships, his aides said. The former mayor is turning over the money as one lump sum, rather than in annual installments, the aides said. In an email to Johns Hopkins students, faculty and staff, Ro… [+2350 chars]"
the-new-york-times,The New York Times,RONI CARYN RABIN,New Peanut Allergy Drug Shows ‘Lifesaving’ Potential,"Carter Grodi, at home in Ocala, Fla., with his mother, Carolee, has a peanut allergy, but a new drug allows him to tolerate small amounts of peanuts. “To me, a peanut was like a weapon,” he said.",https://www.nytimes.com/2018/11/18/well/live/new-peanut-allergy-drug-shows-lifesaving-potential.html,https://static01.nyt.com/images/2018/11/17/well/19PEANUT1/19PEANUT1-facebookJumbo.jpg,2018-11-18T21:45:01Z,"Almost all of the children experienced adverse allergic reactions during the course of the yearlong trial, whether they were in the active treatment group or the placebo group. But over all, the investigators were pleased with the low rate of adverse events. … [+2779 chars]"
the-new-york-times,The New York Times,JULIE HIRSCHFELD DAVIS,"If Not Pelosi, Whom? The Question Hovers Over a Simmering Rebellion","Among House Democrats, some strongly believe it is time for Nancy Pelosi to step aside for new leadership. But a serious challenger has yet to step forward.",https://www.nytimes.com/2018/11/18/us/politics/nancy-pelosi-house-speaker-challenge.html,https://static01.nyt.com/images/2018/11/18/us/politics/18dc-pelosi1/18dc-pelosi1-facebookJumbo.jpg,2018-11-18T21:58:39Z,"Whatever the reason for the reluctance, the lack of a clear challenger has perplexed many Democrats, including some newly elected lawmakers who vowed during their campaigns not to support Ms. Pelosi, many of them from more moderate districts where she is unpo… [+1772 chars]"
the-new-york-times,The New York Times,MICHAEL R. BLOOMBERG,Michael Bloomberg: Why I’m Giving $1.8 Billion for College Financial Aid,Looking across Wyman Quad to Shriver Hall on the campus of Johns Hopkins University in Baltimore.,https://www.nytimes.com/2018/11/18/opinion/bloomberg-college-donation-financial-aid.html,https://static01.nyt.com/images/2018/11/19/opinion/19BLOOMBERG/19BLOOMBERG-facebookJumbo.jpg,2018-11-18T21:00:03Z,"As a result, they often lose out and so do colleges that would benefit from their talents and diverse perspectives. Our country loses out, too. College is a great leveler. Multiple studies have shown that students who attend selective colleges no matter what … [+1888 chars]"
the-new-york-times,The New York Times,NA,Alex Smith Suffers Gruesome Injury 33 Years After Joe Theismann's - New York Times,"New York Times Alex Smith Suffers Gruesome Injury 33 Years After Joe Theismann's New York Times On the 33rd anniversary of Joe Theismann's career-ending knee injury, Alex Smith, the veteran quarterback of the Washington Redskins, left Sunday's game against th…",https://www.nytimes.com/2018/11/18/sports/alex-smith-injury-redskins-texans.html,https://static01.nyt.com/images/2018/11/19/sports/19redskins-top/19redskins-top-facebookJumbo.jpg,2018-11-18T22:21:15Z,"Smiths season-ending injury is a huge blow to the Redskins, who came into the day leading the N.F.C. East. Smith, 34, has had a long and winding career since being selected by the San Francisco 49ers with the No. 1 overall pick in the 2005 draft. His first si… [+683 chars]"
the-new-york-times,The New York Times,NA,Ron DeSantis Seeks Softer Tone From Trump - New York Times,"New York Times Ron DeSantis Seeks Softer Tone From Trump New York Times TALLAHASSEE, Fla. — Since Election Day, Florida Gov. Rick Scott has been privately exhorting President Trump to Twitter-bomb his opponent, Sen. Bill Nelson, in hopes of muscling the incum…",https://www.nytimes.com/2018/11/17/us/florida-governor-ron-desantis.html,https://static01.nyt.com/images/2018/11/18/us/18florida-desantis/18florida-desantis-facebookJumbo.jpg,2018-11-18T00:34:04Z,"Weve had too many problems through too many cycles, said Mr. Galvano, who represents the Bradenton area. Mr. DeSantis is expected to begin his term with at least one important political victory. He will be able to appoint three justices to the state Supreme C… [+1807 chars]"
the-new-york-times,The New York Times,CHARLOTTE COWLES,"With Interest: The Week in Business: Facebook Is on the Defensive, and Black Friday Sales Start Early","Plus, the F.D.A. moves to ban flavored tobacco, Brexit hits the skids and Amazon’s HQ2 draws critics in New York.",https://www.nytimes.com/2018/11/18/business/the-week-in-business-facebook-on-defensive-black-friday-sales.html,https://static01.nyt.com/images/2018/11/18/business/18withinterest1/18withinterest1-facebookJumbo.jpg,2018-11-18T12:00:00Z,"Nov. 1825 In Britain, the challenges will continue for Prime Minister Theresa May as she attempts to woo support for her much-derided Brexit proposal. She has finally secured cabinet approval for her long-awaited plan but critics argue that there are too many… [+2281 chars]"
the-new-york-times,The New York Times,CADE METZ,"Finally, a Machine That Can Finish Your Sentence",Completing someone else’s thought is not an easy trick for A.I. But new systems are starting to crack the code of natural language.,https://www.nytimes.com/2018/11/18/technology/artificial-intelligence-language.html,https://static01.nyt.com/images/2018/11/16/business/16LANGUAGE/00LANGUAGE-facebookJumbo.gif,2018-11-18T21:05:15Z,"These new language systems learn by analyzing millions of sentences written by humans. A system built by OpenAI, a lab based in San Francisco, analyzed thousands of self-published books, including romance novels, science fiction and more. Googles Bert analyze… [+2155 chars]"
the-new-york-times,The New York Times,NICK SUMMERS,Times Insider: Making Business More Colorful,"A Q. and A. with Wendy MacNaughton, the illustrator of Meanwhile, a new column exploring the people, places and things we usually overlook.",https://www.nytimes.com/2018/11/18/reader-center/business-section-redesign-meanwhile.html,https://static01.nyt.com/images/2018/11/18/insider/18meanwhile-1/18meanwhile-1-facebookJumbo.jpg,2018-11-18T12:16:22Z,"You travel a lot. Where would you most like to go on a reporting trip? This column came at an exciting time. Over the past six-plus months, Ive been taking lengthy road trips around the United States, interviewing and drawing people I meet. My only destinatio… [+1330 chars]"
the-new-york-times,The New York Times,"J. DAVID GOODMAN, AL BAKER and JAMES GLANZ",Tests Showed Children Were Exposed to Lead. The Official Response: Challenge the Tests,"Mikaila Bonaparte, 5, in her bedroom at the Tompkins Houses in Bedford-Stuyvesant, Brooklyn. In 2016, a doctor found lead in her blood at levels almost never seen in modern New York.",https://www.nytimes.com/2018/11/18/nyregion/nycha-lead-paint.html,https://static01.nyt.com/images/2018/11/18/nyregion/18nycha2/00nycha2-facebookJumbo.jpg,2018-11-18T22:00:07Z,"By the course of business, when we issue violations, Nycha does their own check, Michel Meulens, a Health Department inspector, testified in October 2017 in a trial involving a child who tested positive for lead in 2003. The case ended in a settlement. Mr. Cl… [+1599 chars]"
the-new-york-times,The New York Times,NA,Rewriting Its Own Script...,"Rewriting Its Own Script... (First column, 10th story, link ) Related stories: CHINA: The Land That Failed to Fail... 'Taken gloves off' in thefts of U.S. tech secrets... Pence-Xi Showdown at APEC Shows Divide Only Widening... Pence stares down Putin for 20 s…",https://www.nytimes.com/interactive/2018/11/18/world/asia/china-movies.html,https://static01.nyt.com/images/2018/11/16/world/china-internet-promo/china-internet-promo-facebookJumbo-v4.png,2018-11-18T13:43:38Z,"When was the last time you watched a movie with a Chinese villain? If you cant remember, that may not be too surprising. Take the 2012 remake of the Cold War drama Red Dawn. It depicted Chinese enemies invading an American town. At least it did until the scri… [+6326 chars]"
the-new-york-times,The New York Times,NA,CHINA: The Land That Failed to Fail...,"CHINA: The Land That Failed to Fail... (First column, 9th story, link ) Related stories: Rewriting Its Own Script... 'Taken gloves off' in thefts of U.S. tech secrets... Pence-Xi Showdown at APEC Shows Divide Only Widening... Pence stares down Putin for 20 se…",https://www.nytimes.com/interactive/2018/11/18/world/asia/china-rules.html,https://static01.nyt.com/images/2018/11/16/world/china-main-promo/china-main-promo-facebookJumbo.jpg,2018-11-18T13:43:38Z,"The West was sure the Chinese approach would not work. It just had to wait. Its still waiting. By PHILIP P. PAN Photographs by BRYAN DENTON NOV. 18, 2018 In the uncertain years after Mao’s death, long before China became an industrial juggernaut, before the C… [+26326 chars]"
the-new-york-times,The New York Times,BROOKS BARNES,‘Fantastic Beasts’ Sequel Is a Soft No. 1 at the Box Office,"“The Crimes of Grindelwald,” a Harry Potter prequel, took in 16 percent less than its franchise predecessor in North America. Overseas turnout was better.",https://www.nytimes.com/2018/11/18/movies/fantastic-beasts-crimes-of-grindelwald-box-office.html,https://static01.nyt.com/images/2018/11/19/arts/19box1/19box1-facebookJumbo.jpg,2018-11-18T18:08:40Z,"LOS ANGELES For months, Warner Bros. marketers did everything they could to stir interest in Fantastic Beasts: The Crimes of Grindelwald, the second of the studios five lavish Harry Potter prequels. The hard sell appears to have worked overseas. But initial t… [+1252 chars]"
the-new-york-times,The New York Times,JOHN WILLIAMS,Q. & A.: Tell Us 5 Things About Your Book: A Journalist Recalls the Terror (and Boredom) of Being Held Hostage,"In “The Desert and the Sea,” Michael Scott Moore recounts his ordeal being held captive by Somali pirates for more than two years.",https://www.nytimes.com/2018/11/18/books/desert-sea-somali-hostage-michael-scott-moore-interview.html,https://static01.nyt.com/images/2018/11/19/books/19moore-fivequestions/19moore-fivequestions-facebookJumbo.jpg,2018-11-18T16:00:00Z,"Whats the most surprising thing you learned while writing it? People would ask me: How have you changed? Before I finished the book, I dont think I could answer how. I certainly didnt think about it while I was going through it; it was just a matter of surviv… [+1900 chars]"
the-new-york-times,The New York Times,ILIANA MAGRA,"Rich, Ancient City Is Unearthed in Greece","Archaeologists unearthed Tenea, which is thought to have been founded by Trojans. They also found tombs, coins and urns, among other items, in and around the city.",https://www.nytimes.com/2018/11/18/world/europe/ancient-greece-city-tenea.html,https://static01.nyt.com/images/2018/11/19/world/19greece-city/19greece-city-facebookJumbo.jpg,2018-11-18T14:29:52Z,"Among the other items found was a collection of more than 200 coins that dated from the early Hellenistic years, a historical period that started after the death of Alexander the Great in 323 B.C., and to the Roman Empire. During the Roman years, Tenea cut co… [+1344 chars]"
the-new-york-times,The New York Times,MELISSA EDDY,An Ex-Rival and a Protégée Vie to Replace Merkel as German Conservatives’ Leader,"The three candidates to succeed Angela Merkel as leader of the Christian Democratic Union, from left: Friedrich Merz, Annegret Kramp-Karrenbauer and Jens Spahn. Mr. Merz and Ms. Kramp-Karrenbauer are considered the main contenders.",https://www.nytimes.com/2018/11/18/world/europe/merkel-germany-conservatives.html,https://static01.nyt.com/images/2018/11/18/world/18germany/xxgermany-facebookJumbo.jpg,2018-11-18T16:36:40Z,"Ms. Kramp-Karrenbauer, 56, has followed a traditional path among Christian Democrats, rising through the party ranks to win three state election campaigns on the way to a seven-year run as governor of Saarland. This year, she left regional politics for a stin… [+1480 chars]"
the-new-york-times,The New York Times,SANDRA E. GARCIA,"Aldyr Schlee, Who Designed the Brazilian Soccer Team’s Iconic Jersey, Dies at 83","Mr. Schlee won a contest, though he was skeptical about the rules: The design had to include the blue, green, white and yellow of the Brazilian flag.",https://www.nytimes.com/2018/11/18/world/americas/aldyr-garcia-schlee-dead.html,https://static01.nyt.com/images/2018/11/19/world/americas/19xp-schlee/merlin_138418131_368c14c4-4ab2-4ba8-b6ef-272eac7d3a54-facebookJumbo.jpg,2018-11-18T23:49:13Z,"Mr. Schlees design would not be suggested today because its too simple, Mr. OGrady said, adding, There is more ornamentation on uniforms today. The new team colors debuted in March 1954. At the World Cup in 1962, the Brazilian player Pelé raised the jerseys i… [+1245 chars]"
the-american-conservative,The American Conservative,Rod Dreher,A Poem For Sunday Morning,"James Matthew Wilson, revealer of hidden profundities",https://www.theamericanconservative.com/dreher/a-poem-for-sunday-morning/,http://www.theamericanconservative.com/wp-content/uploads/2018/11/Screen-Shot-2018-11-18-at-7.52.51-AM.png,2018-11-18T13:53:56Z,How many exiles in the monastery Copied some painted page in heavy tomes And filled its margins with the spry but weary Details recalled of their forsaken homes? Some displaced readers down the centuries Have opened Dante’s De vulgari and found Their pains gi… [+479 chars]
the-american-conservative,The American Conservative,Rod Dreher,Transgender Totalitarianism,"Whistleblower: UK school encouraging autistic students to change gender, keep parents in the dark",https://www.theamericanconservative.com/dreher/transgender-totalitarianism/,https://www.theamericanconservative.com/wp-content/uploads/2018/11/shutterstock_1126286807.jpg,2018-11-18T19:37:56Z,"How far will society let this go? From the UK: An astonishing 17 pupils at a single British school are in the process of changing gender, The Mail on Sunday can reveal. Most of the youngsters undergoing the transformation are autistic, according to a teacher … [+5290 chars]"
abc-news,ABC News,NA,The sisterhood of congressional 'firsts': Diverse group of newly elected women bond over common status and goals - ABC News,ABC News The sisterhood of congressional 'firsts': Diverse group of newly elected women bond over common status and goals ABC News They are a sisterhood. Interested in Midterm Elections? Add Midterm Elections as an interest to stay up to date on the latest Mi…,https://abcnews.go.com/Politics/sisterhood-congressional-firsts-diverse-group-newly-elected-women/story?id%3D59191739,NA,2018-11-17T14:02:35Z,NA
abc-news,ABC News,NA,Alleged Khashoggi killers discussed plot minutes before he arrived: Turkish officials - ABC News,ABC News Alleged Khashoggi killers discussed plot minutes before he arrived: Turkish officials ABC News The team of alleged assassins sent to murder Washington Post columnist Jamal Khashoggi discussed their plan to kill the writer while he was making his way …,https://abcnews.go.com/International/alleged-khashoggi-killers-discussed-plot-minutes-arrived-turkish/story?id%3D59257354,NA,2018-11-17T01:30:57Z,NA
abc-news,ABC News,Mark Osborne,Fraternity suspended after member critically injured in fall,David Rusko was injured in a fall at the frat house on Nov. 10.,https://abcnews.go.com/US/sigma-alpha-epsilon-fraternity-suspended-member-critically-injured/story?id=59260696,https://s.abcnews.com/images/US/sigma-alpha-epsilon-wvu2-wtae-mo-20181117_hpMain_16x9_992.jpg,2018-11-17T06:30:48Z,"A student at West Virginia University is in critical condition after a fall at the school's Sigma Alpha Epsilon fraternity house -- leading to the suspension of the chapter pending an investigation. David Rusko, 22, remains in the intensive care unit after th… [+3085 chars]"
abc-news,ABC News,Morgan Winsor,"Trump visits California as wildfires leave 74 dead, more than 1,000 others missing","More than 1,000 people are unaccounted for in California as deadly wildfires continue to burn at both ends of the state.",https://abcnews.go.com/US/devastating-california-wildfires-leave-74-dead-1000-unaccounted/story?id=59262994,https://s.abcnews.com/images/US/paradise-aerial-afp-getty_hpMain_16x9_992.jpg,2018-11-17T18:59:28Z,"More than 1,000 people are unaccounted for in California as deadly wildfires continue to burn at both ends of the state. Interested in California Wildfires? Add California Wildfires as an interest to stay up to date on the latest California Wildfires news, vi… [+8429 chars]"
abc-news,ABC News,Mark Osborne,Smoke blankets Bay Area as residents forced to don masks to breathe,The Camp Fire has sent record-bad air into the Bay Area.,https://abcnews.go.com/US/smoke-blankets-san-francisco-residents-forced-don-masks/story?id=59262130,https://s.abcnews.com/images/US/hazy-golden-gate-bridge-ap-mo-20181117_hpMain_16x9_992.jpg,2018-11-17T09:38:25Z,"Flames from the deadly Camp Fire won't reach California's Bay Area, but that doesn't mean it's not still wreaking havoc on the region. Smoke from the Northern California fire is leading to record-high levels of air pollution. Masks have become the fashion sta… [+2165 chars]"
abc-news,ABC News,Joe Goldman,Argentine submarine found at bottom of Atlantic after year of searching,"The submarine was lost on Nov. 15, 2017.",https://abcnews.go.com/International/argentine-submarine-found-bottom-atlantic-ocean-year-searching/story?id=59261897,https://s.abcnews.com/images/International/ara-san-juan-ap-mo-20181117_hpMain_16x9_992.jpg,2018-11-17T08:25:36Z,An Argentine submarine that went missing almost exactly one year ago has been found at the bottom of the Atlantic Ocean. The Argentine Navy and Defense Ministry confirmed late Friday evening that the remains of the ARA San Juan submarine had been located in t… [+3072 chars]
abc-news,ABC News,The Associated Press,Trump expecting CIA briefing on Khashoggi killing,"New claims, conclude Saudi's crown prince reportedly ordered the killing.",https://abcnews.go.com/Politics/wireStory/us-official-us-intel-prince-ordered-khashoggi-killing-59261491,https://s.abcnews.com/images/Politics/WireAP_d36e2caafcdb4878a2765a76c2aff29f_16x9_992.jpg,2018-11-17T15:35:43Z,"Interested in Jamal Khashoggi? Add Jamal Khashoggi as an interest to stay up to date on the latest Jamal Khashoggi news, video, and analysis from ABC News. President Donald Trump awaited a briefing Saturday from the CIA on the death of journalist Jamal Khasho… [+5362 chars]"
abc-news,ABC News,NA,Trump says reports that CIA has tied Saudi prince to Khashoggi murder are 'premature' - ABC News,"CBS News Trump says reports that CIA has tied Saudi prince to Khashoggi murder are 'premature' ABC News President Donald Trump said late Saturday that it's ""too early"" to say whether Saudi Prince Mohammed bin Salman was behind the killing of Washington Post c…",https://abcnews.go.com/International/president-trump-receives-cia-briefing-jamal-khashoggi-murder/story?id%3D59265282,NA,2018-11-17T20:13:00Z,NA
abc-news,ABC News,NA,"Snow moves into Northern Plains as Midwest, Northeast brace for arctic cold - ABC News","ABC News Snow moves into Northern Plains as Midwest, Northeast brace for arctic cold ABC News Winter weather alerts are in place across nine states on Saturday as a clipper system will deliver snow from the Rockies through the Central Plains into the Great La…",https://abcnews.go.com/US/snow-moves-northern-plains-midwest-northeast-brace-arctic/story?id%3D59262423,NA,2018-11-17T11:58:00Z,NA
abc-news,ABC News,NA,Controversies hamper candidates in Mississippi Senate race - ABC News,"ABC News Controversies hamper candidates in Mississippi Senate race ABC News In the past week, a special election contest in Mississippi that seemed to be flying under the radar was in disarray as the two candidates jockeying for the state's open Senate seat …",https://abcnews.go.com/Politics/controversies-hamper-candidates-mississippi-senate-race/story?id%3D59256622,NA,2018-11-17T18:22:22Z,NA
abc-news,ABC News,NA,Argentine submarine found on bottom of Atlantic Ocean after year of searching - ABC News,ABC News Argentine submarine found on bottom of Atlantic Ocean after year of searching ABC News An Argentine submarine that went missing almost exactly one year ago has been found at the bottom of the Atlantic Ocean. The Argentine Navy and Defense Ministry co…,https://abcnews.go.com/International/argentine-submarine-found-bottom-atlantic-ocean-year-searching/story?id%3D59261897,NA,2018-11-17T08:19:00Z,NA
