source_id,source_name,author,title,description,url,urlToImage,publishedAt,content
breitbart-news,Breitbart News,"Penny Starr, Penny Starr","Heartland Institute, Polish Labor Union Sign Historic Pact to Resist Climate Change Agenda",The Heartland Institute and Solidarity signed a statement at the U.N. conference in Poland to push back on the manmade climate change agenda.,https://www.breitbart.com/politics/2018/12/07/heartland-institute-polish-labor-union-sign-historic-pact-resist-climate-change-agenda/,https://media.breitbart.com/media/2018/12/wi/ap/03/cb4b68_belgium-climate-55123-demonstrator-holds-placard-reads-climate-politics-e1544216098123.jpg,2018-12-07T20:56:58Z,"Solidarity, founded by Nobel Peace Laurette Lech Walesa whose stand against the Soviet Bloc helped bring down the Iron Curtain, initiated the statement. The union and the experts and scientists who gathered at the site of the U.N. conference in Poland signed … [+3100 chars]"
breitbart-news,Breitbart News,"Joshua Caplan, Joshua Caplan",GLAAD CEO: Kevin Hart Should Not Have Quit as Oscars Host,"GLAAD, the country's largest advocacy organization dedicated to defending the rights of gay, lesbian, bisexual, and transgender people, said Friday that actor-comedian Kevin Hart should not have quit as host of the Oscars, arguing the A-lister should have ins…",https://www.breitbart.com/entertainment/2018/12/07/glaad-ceo-kevin-hart-should-not-have-quit-as-oscars-host/,https://media.breitbart.com/media/2018/11/KevinHartcrop.jpg,2018-12-07T17:43:53Z,"Kevin Hart shouldnt have stepped down; he should have stepped up, GLAAD CEO Sarah Kate Ellis told TheWrap. Harts apology to LGBTQ people is an important step forward, but he missed a real opportunity to use his platform and the Oscars stage to build unity and… [+3111 chars]"
breitbart-news,Breitbart News,"Sean Moran, Sean Moran",Lindsey Graham: 'I Will Do Everything in My Power' to Confirm William Barr as Attorney General,"Sen. Lindsey Graham (R-SC), who will likely become the next Senate Judiciary Committee chairman, praised President Donald Trump’s attorney general nominee, William Barr, on Friday, saying he is “highly capable, highly respected and will provide new and much-n…",https://www.breitbart.com/politics/2018/12/07/lindsey-graham-do-everything-power-confirm-william-barr-attorney-general/,https://media.breitbart.com/media/2018/12/donald-trump-william-p-barr.jpg,2018-12-07T17:40:45Z,"President Trump confirmed that on Friday, he will nominate as his next attorney general the man who served as attorney general from 1991-1993 during the George H.W. Bush administration. He was my first choice since day one, Trump said on Friday morning. Sen. … [+2325 chars]"
breitbart-news,Breitbart News,"Ian Hanchett, Ian Hanchett",Intel. Dem Speier: I Think Trump Jr. Lied to the Committee,"On Friday’s broadcast of “CNN Right Now,” House Intelligence Committee member Jackie Speier (D-CA) said that she believes that Donald Trump Jr. lied to the committee on at least a couple of occasions. Host Brianna Keilar asked, “Do you think Donald Trump Jr. …",https://www.breitbart.com/video/2018/12/07/intel-dem-speier-i-think-trump-jr-lied-to-the-committee/,https://media.breitbart.com/media/2018/12/Speier-127-Thumbnail.jpg,2018-12-07T20:04:58Z,"On Friday’s broadcast of “CNN Right Now,” House Intelligence Committee member Jackie Speier (D-CA) said that she believes that Donald Trump Jr. lied to the committee on at least a couple of occasions. Host Brianna Keilar asked, Do you think Donald Trump Jr. l… [+309 chars]"
breitbart-news,Breitbart News,"Dr. Susan Berry, Dr. Susan Berry",Teacher Jailed After Forcibly Cutting Student’s Hair While Singing ‘Star-Spangled Banner’,"Chemistry teacher Margaret Gieszinger, 52, was seen on a video, chasing students with scissors in the classroom Wednesday at University Preparatory High School, as she was loudly singing the national anthem.",https://www.breitbart.com/politics/2018/12/07/teacher-jailed-after-forcibly-cutting-students-hair-while-singing-star-spangled-banner/,https://media.breitbart.com/media/2018/12/Margaret-Gieszinger-cut-students-hair-singing-star-spangled-banner-california-high-school.png,2018-12-07T18:29:02Z,"Chemistry teacher Margaret Gieszinger, 52, was seen on a video, chasing students with scissors in the classroom Wednesday at University Preparatory High School, as she was loudly singing the national anthem. According to an ABC7 news report, students reported… [+1907 chars]"
breitbart-news,Breitbart News,"John Carney, John Carney",Canadian Prosecutors Accuse Huawei CFO Meng of Fraud Aimed at Evading Iran Sanctions,Canadian prosecutors say Meng lied to banks when she claimed Huawei and Sky Com were different companies.,https://www.breitbart.com/asia/2018/12/07/huawei-cfo-meng-accused-of-fraud-and-violating-iran-sanctions/,https://media.breitbart.com/media/2018/11/wi/afp/27/651a78_huawei-is-facing-scrutiny-in-countries-its-alleged-close-links-chinese-e1544128481147.jpg,2018-12-07T19:18:30Z,"Until Meng’s bail hearing Friday, the reasons for her arrest in Canada on December 1 were shrouded in mystery. A Canadian judge had thrown a gag order over the case, banning reporting on the details. That gag order was lifted Friday and prosecutors detailed t… [+5571 chars]"
breitbart-news,Breitbart News,"John Binder, John Binder",Prosecutors: Illegal Alien Murdered 16-Year-Old Girlfriend After Break Up,"An illegal alien allegedly murdered a 16-year-old New Jersey girl after the two split following a ten-month relationship, prosecutors claim.",https://www.breitbart.com/politics/2018/12/07/prosecutors-illegal-alien-murdered-16-year-old-girlfriend-after-break-up/,https://media.breitbart.com/media/2018/12/collage.jpg,2018-12-07T22:43:44Z,"Bryan Cordero-Castro, a 20-year-old illegal alien, was arrested and charged after allegedly stabbing to death 16-year-old Madison Wells, Breitbart News reported a few months ago. This week, Cordero-Castro appeared in court for the first time, where prosecutor… [+1474 chars]"
breitbart-news,Breitbart News,"AWR Hawkins, AWR Hawkins",Police: Deputy Killed in Thousand Oaks Attack Died from Friendly Fire,Police say the deputy who died responding to the November 7 Thousand Oaks attack died from friendly fire.,https://www.breitbart.com/politics/2018/12/07/police-deputy-killed-thousand-oaks-attack-died-friendly-fire/,https://media.breitbart.com/media/2018/11/wi/ap/09/b1a436_california-bar-shooting-57951-undated-photo-by-ventura-county-sheriff-e1544220502978.jpg,2018-12-07T22:12:20Z,Breitbart News reported that 12 people were killed in gun-free Borderline Bar &amp; Grill when an attacker opened fire with a legally owned.45 caliber handgun. One of the deceased was Sgt. Ron Helus. Helus was believed to have died as the result of shots exch… [+901 chars]
breitbart-news,Breitbart News,"Neil Munro, Neil Munro","Billionaires Demand Fast-Track Green Cards for 400,000 Visa Workers","Internet billionaire Marc Benioff is urging the GOP Congress and President Donald Trump to fast-track 400,000 foreign contract-workers -- plus 400,000 family members -- into green cards, the U.S. job market, and the ballot box.",https://www.breitbart.com/politics/2018/12/07/billionaires-demand-fast-track-green-cards-400000-outsourcing-workers/,https://media.breitbart.com/media/2018/03/wi/afp/07/3mabdm_bezos-sailed-gates-top-forbes-billionaires-time-bezos-tops-forbes-world-e1544217759450.jpg,2018-12-07T21:23:40Z,"“This is good for our economy,” Benioff said in a Tuesday tweet that was applauded by Silicon Valley lobbyists. “We need to grow our workers to grow our economy.” Benioff’s comment is a tautology: Expanding the population by importing more than 800,000 people… [+8662 chars]"
breitbart-news,Breitbart News,"Ian Hanchett, Ian Hanchett",Dem Sen. Murphy: Nauert 'Clearly Not Qualified' to Be U.N. Ambassador,"On Thursday’s broadcast of CNN’s “AC360,” Senator Chris Murphy (D-CT) stated that State Department Spokeswoman Heather Nauert is “clearly not qualified” to serve as ambassador to the United Nations. Murphy said, “[O]ur foreign policy is a mess, and the presid…",https://www.breitbart.com/video/2018/12/06/dem-sen-murphy-nauert-clearly-not-qualified-to-be-u-n-ambassador/,https://media.breitbart.com/media/2018/10/Sen-Chris-Murphy-D-Conn-2017-AP.jpg,2018-12-07T05:18:19Z,"On Thursday’s broadcast of CNN’s “AC360,” Senator Chris Murphy (D-CT) stated that State Department Spokeswoman Heather Nauert is “clearly not qualified” to serve as ambassador to the United Nations. Murphy said, “[O]ur foreign policy is a mess, and the presid… [+753 chars]"
breitbart-news,Breitbart News,"Pam Key, Pam Key",Dem Rep. Swalwell: ‘Swalwell-Biden’ Is a Possible 2020 Ticket,"Thursday on CNN’s “The Situation Room,” Rep. Eric Swalwell (D-CA) said he was “open to entertaining” the possibility of the Swalwell-Biden 2020 ticket. Pop artist Cher told ITK Sunday that Sen. Kamala Harris (D-CA) or Swalwell should run with former Vice Pres…",https://www.breitbart.com/video/2018/12/06/dem-rep-swalwell-swalwell-biden-is-a-possible-2020-ticket/,https://media.breitbart.com/media/2017/05/Swalwell-55-Thumbnail.jpg,2018-12-07T04:40:31Z,"Thursday on CNN’s “The Situation Room,” Rep. Eric Swalwell (D-CA) said he was “open to entertaining” the possibility of the Swalwell-Biden 2020 ticket. Pop artist Cher told ITK Sunday that Sen. Kamala Harris (D-CA) or Swalwell should run with former Vice Pres… [+446 chars]"
breitbart-news,Breitbart News,"Ildefonso Ortiz and Brandon Darby, Ildefonso Ortiz and Brandon Darby",EXCLUSIVE PHOTO: Mexico Captures Cartel Boss Behind Border State Violence,"Mexican authorities arrested a top cartel operator who is linked to the escalation of violence in this border state. The arrest took place in the southeastern state of Yucatan, not far from numerous popular tourist resort towns.",https://www.breitbart.com/border/2018/12/06/exclusive-photo-mexico-captures-cartel-boss-behind-border-state-violence/,https://media.breitbart.com/media/2018/09/wi/afp/25/4fcff0_fearing-acapulco-police-force-had-infiltrated-by-drug-cartels-mexican.jpg,2018-12-07T01:30:03Z,"Known in the criminal underworld as Chelelo, Eleazar Medina Rojas is the target of an intelligence operation led by Nuevo Leons State Investigation Agency. Investigators tracked him in relation to the recent escalation of violence in the region. Nuevo Leon in… [+2009 chars]"
breitbart-news,Breitbart News,"Kyle Morris, Kyle Morris",Biden Considered by Some Democrats To Be 'Too Tired and Worn Out',"According to many within the Democratic party, former Vice President Joe Biden, a possible 2020 presidential candidate, does not compare to other Democrat hopefuls. According to The Atlantic, several people chose not to use videos Biden recorded for midterm c…",https://www.breitbart.com/politics/2018/12/06/biden-considered-by-some-democrats-to-be-too-tired-and-worn-out/,https://media.breitbart.com/media/2018/12/Biden-Salute.jpg,2018-12-07T00:41:39Z,"According to The Atlantic, several people chose not to use videos Biden recorded for midterm candidates because they gave the impression that he is “too tired and worn out.” The Atlantic said: When his August eulogy at one of John McCains funeral services wen… [+1536 chars]"
breitbart-news,Breitbart News,"Lucas Nolan, Lucas Nolan",Snopes Rates Liberal Meme 'True' After Former Hillary Staffer Deletes Photo and Admits It's Inaccurate,"The Facebook and Google approved fact-checking service Snopes has once again made a serious error when weighing the factuality of a recent popular meme, claiming the ""general idea"" of the meme was ""correct,"" despite it having been debunked.",https://www.breitbart.com/tech/2018/12/07/snopes-rates-liberal-meme-true-after-former-hillary-staffer-deletes-photo-and-admits-its-inaccurate/,https://media.breitbart.com/media/2018/12/bethania-palma-snopes.jpg,2018-12-07T19:01:56Z,"A new meme has been making the rounds across social media recently, featuring a photo of President Donald Trump alongside a group of Republican lawmakers and other members of his administration. The photo was taken following the Houses vote to repeal Obamacar… [+7653 chars]"
